"educ_yrs","age","exper","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
12,25,7,5,4,1,0,5,25,0,1,0,1
8,24,10,5,5,1,0,5,24,1,0,0,0
12,21,3,5,4,1,0,5,21,1,0,0,1
12,17,-1,6,3,1,1,5,17,0,1,0,0
9,39,24,6,2,1,1,5,39,0,1,0,0
7,25,12,6,2,1,1,5,25,0,1,0,0
15,25,4,6,4,1,1,5,25,1,0,0,0
8,33,19,6,2,1,1,5,33,0,1,0,0
6,39,27,6,1,1,1,5,39,1,0,0,0
6,42,30,6,3,1,1,5,42,1,0,0,0
7,29,16,6,2,1,1,5,27,0,1,0,0
8,44,30,5,1,1,0,5,44,1,0,0,0
8,33,19,6,2,1,1,5,33,0,1,0,0
8,42,28,6,2,1,1,5,42,1,0,0,0
14,28,8,6,5,1,0,5,25,0,1,0,0
8,44,30,6,1,1,1,5,44,0,1,0,0
8,43,29,6,1,1,1,5,43,0,1,0,0
7,34,21,6,2,1,1,5,34,1,0,0,0
8,44,30,4,3,1,1,5,44,0,1,0,0
7,47,34,4,2,1,1,5,47,0,1,0,0
6,43,31,4,2,1,1,5,43,0,1,0,0
8,25,11,4,1,1,1,5,19,1,0,0,0
12,22,4,6,4,1,0,5,16,1,0,0,0
8,34,20,3,1,1,1,5,34,0,0,0,0
8,25,11,3,2,1,1,5,25,0,0,0,0
12,29,11,4,4,1,1,5,26,0,1,0,0
10,34,18,6,3,1,1,5,22,1,0,0,0
12,28,10,3,3,1,1,5,28,1,0,0,0
9,45,30,2,2,1,0,5,45,1,0,0,0
13,41,22,6,4,1,0,5,40,1,0,0,1
14,27,7,5,4,1,0,5,22,0,1,0,0
8,26,12,4,5,1,0,5,17,0,1,0,0
8,42,28,4,4,1,0,5,26,0,1,0,0
12,34,16,4,5,1,0,5,34,0,1,0,0
14,31,11,4,5,1,0,5,9,0,1,0,0
15,24,3,3,4,1,0,5,20,0,1,0,0
11,22,5,3,4,1,0,5,19,0,1,0,0
10,33,17,7,5,1,0,0.0465116279069767,25,1,0,0,1
8,45,31,3,2,1,1,0.0465116279069767,19,1,0,0,0
8,23,9,4,1,1,1,0.0697674418604651,23,0,1,0,0
7,35,22,4,1,1,1,0.0697674418604651,18,0,0,0,0
8,39,25,4,5,1,0,0.0697674418604651,30,0,1,0,1
14,26,6,2,3,1,1,0.0930232558139535,25,0,1,0,0
7,38,25,3,3,1,0,0.116279069767442,38,0,1,0,0
0,44,38,4,1,1,0,0.116279069767442,44,0,0,1,0
8,26,12,2,2,1,1,0.116279069767442,26,0,1,0,0
7,42,29,2,3,1,1,0.116279069767442,40,1,0,0,0
12,26,8,4,4,1,1,0.13953488372093,19,1,0,0,0
12,20,2,2,5,1,0,0.13953488372093,19,1,0,0,0
5,38,27,6,2,1,1,0.162790697674419,17,1,0,0,0
0,32,26,2,2,1,0,0.186046511627907,32,0,0,1,0
8,23,9,4,3,1,0,0.232558139534884,22,1,0,0,1
14,41,21,2,5,1,0,0.232558139534884,21,1,0,0,0
12,44,26,3,3,1,1,0.27906976744186,44,1,0,0,0
12,39,21,4,4,1,0,0.348837209302326,39,1,0,0,0
13,21,2,5,4,1,0,0.348837209302326,21,0,0,1,0
0,32,26,4,3,1,0,0.348837209302326,32,0,0,1,0
12,26,8,4,5,1,0,0.348837209302326,26,0,0,1,0
8,20,6,2,1,1,1,0.348837209302326,20,1,0,0,0
15,46,25,3,5,1,0,0.465116279069767,27,0,1,0,0
0,30,24,2,3,1,0,0.465116279069767,22,0,0,1,0
8,35,21,4,3,1,1,0.465116279069767,25,0,1,0,0
12,27,9,4,3,1,0,0.511627906976744,27,0,0,1,0
14,37,17,3,3,1,1,0.511627906976744,20,1,0,0,0
14,31,11,7,4,1,0,0.581395348837209,21,1,0,0,1
14,23,3,6,4,1,1,0.581395348837209,23,0,0,1,0
7,39,26,5,2,1,1,0.581395348837209,29,1,0,0,0
10,31,15,3,2,1,1,0.581395348837209,29,0,1,0,0
16,36,14,2,5,1,0,0.581395348837209,19,0,1,0,0
15,45,24,4,3,1,1,0.627906976744186,23,1,0,0,0
15,24,3,3,5,1,0,0.697674418604651,19,0,1,0,0
12,31,13,2,5,1,0,0.697674418604651,31,0,0,1,0
12,25,7,2,4,1,0,0.697674418604651,25,1,0,0,0
12,32,14,2,5,1,0,0.697674418604651,12,0,0,0,0
16,28,6,5,5,1,1,0.720930232558139,27,1,0,0,0
15,45,24,7,4,1,1,0.790697674418605,16,1,0,0,0
15,29,8,4,4,1,0,0.813953488372093,20,1,0,0,0
15,27,6,3,4,1,0,0.837209302325581,20,1,0,0,0
16,26,4,3,5,1,1,0.883720930232558,2,1,0,0,0
0,23,17,6,4,1,0,0.930232558139535,23,0,0,1,0
14,43,23,3,5,1,0,0.930232558139535,23,1,0,0,0
16,34,12,4,5,1,0,0.930232558139535,24,1,0,0,0
12,28,10,2,5,1,0,1,28,1,0,0,0
16,30,8,5,4,1,0,1.04651162790698,30,0,0,1,0
6,34,22,4,2,1,1,1.16279069767442,34,0,1,0,0
12,45,27,3,3,1,1,1.16279069767442,40,1,0,0,1
0,32,26,3,1,1,1,1.16279069767442,32,1,0,0,0
0,21,15,5,1,1,1,1.16279069767442,21,1,0,0,0
20,48,22,4,5,1,0,1.32558139534884,27,1,0,0,0
0,48,42,4,1,1,1,1.3953488372093,48,1,0,0,0
14,46,26,4,5,1,0,1.86046511627907,25,1,0,0,0
16,25,3,5,5,1,0,2.23255813953488,25,1,0,0,1
15,31,10,3,5,1,0,2.23255813953488,24,1,0,0,0
8,44,30,6,4,1,0,2.23255813953488,29,0,1,0,0
15,27,6,6,5,1,0,2.23255813953488,25,0,1,0,0
10,22,6,6,4,1,0,2.23255813953488,21,1,0,0,1
12,28,10,6,5,1,0,2.23255813953488,18,1,0,0,1
12,29,11,2,3,1,1,2.32558139534884,29,1,0,0,0
9,17,2,4,1,1,1,2.32558139534884,2,1,0,0,0
5,15,4,2,1,1,1,2.32558139534884,15,1,0,0,0
14,45,25,2,5,1,0,2.32558139534884,32,0,0,0,1
0,32,26,3,1,1,1,2.32558139534884,32,1,0,0,0
0,40,34,4,1,1,0,2.32558139534884,40,1,0,0,0
11,28,11,2,1,1,1,2.32558139534884,21,1,0,0,0
7,16,3,4,2,1,1,2.32558139534884,6,0,1,0,0
6,37,25,4,1,1,1,2.32558139534884,31,0,1,0,0
3,39,30,4,1,1,1,2.32558139534884,39,1,0,0,0
3,34,25,5,1,1,1,2.32558139534884,34,1,0,0,0
7,30,17,3,2,1,1,2.32558139534884,20,1,0,0,0
9,15,0,6,1,1,1,2.32558139534884,15,1,0,0,0
10,43,27,5,2,1,1,2.32558139534884,43,1,0,0,0
1,47,40,3,1,1,1,2.32558139534884,47,1,0,0,0
6,42,30,3,3,1,1,2.32558139534884,13,1,0,0,0
6,15,3,6,1,1,1,2.32558139534884,15,0,1,0,0
7,38,25,7,2,1,1,2.32558139534884,24,0,1,0,0
6,45,33,3,1,1,1,2.32558139534884,19,1,0,0,0
4,34,24,5,2,1,1,2.32558139534884,21,0,1,0,0
8,23,9,4,1,1,1,2.32558139534884,23,0,1,0,0
8,37,23,4,5,1,0,2.32558139534884,17,1,0,0,0
6,44,32,5,2,1,1,2.90697674418605,44,0,1,0,0
8,38,24,5,1,1,1,3.48837209302326,38,0,1,0,0
8,21,7,2,3,1,0,3.48837209302326,21,1,0,0,0
8,23,9,4,2,1,0,3.48837209302326,23,1,0,0,0
7,42,29,3,3,1,1,3.48837209302326,33,1,0,0,0
9,17,2,4,2,1,1,3.48837209302326,17,0,1,0,0
8,15,1,5,4,1,1,3.48837209302326,15,1,0,0,0
0,40,34,4,3,1,1,3.48837209302326,40,0,1,0,1
6,16,4,6,2,1,1,3.48837209302326,11,1,0,0,0
11,19,2,3,1,1,1,3.48837209302326,19,1,0,0,0
6,16,4,6,2,1,1,3.48837209302326,16,0,1,0,0
7,18,5,6,2,1,1,3.48837209302326,18,1,0,0,0
11,23,6,3,1,1,1,3.48837209302326,23,1,0,0,0
10,20,4,6,2,1,1,3.48837209302326,20,1,0,0,0
7,16,3,5,2,1,1,3.48837209302326,16,0,1,0,0
12,37,19,5,2,1,1,3.48837209302326,33,1,0,0,0
12,29,11,5,1,1,1,3.72093023255814,29,0,1,0,0
9,16,1,5,4,1,1,3.72093023255814,16,0,1,0,1
9,19,4,6,1,1,1,3.72093023255814,15,0,1,0,0
